UpperBound,LowerBound,Gap,Time,TotalSolves
286676.272895004,203014.64549194102,0.29183310693349324,0.43846821784973145,1053
286676.272895004,206434.54453858425,0.27990362629630156,0.6574950218200684,1722
286676.272895004,224145.79263421416,0.2181222730061508,0.9072511196136475,2391
286676.272895004,242338.17240057036,0.1546626096631046,1.1541671752929688,3060
286676.272895004,242945.53822683214,0.15254396266058748,1.3817250728607178,3729
286716.272895004,250029.48054417275,0.12795504064140104,1.6145350933074951,4398
286716.272895004,256864.96283024587,0.10411446048508641,1.858384132385254,5067
286716.272895004,262343.0736822672,0.08500807773007815,2.0686721801757812,5736
286716.272895004,264103.3600642371,0.07886860624422186,2.304084062576294,6405
286716.272895004,265455.66804749507,0.07415206898735956,2.5245211124420166,7074
286716.272895004,269593.56449353124,0.05972004389071819,2.7640531063079834,7743
286716.272895004,272739.99014245445,0.048746039460647234,3.002713203430176,8412
286716.272895004,274191.00167974917,0.04368524705202772,3.249760150909424,9081
286716.272895004,274295.90092153253,0.0433193827753887,3.501113176345825,9750
286716.272895004,275673.6769448881,0.0385140188891886,3.722661018371582,10419
286716.272895004,277560.98489032674,0.03193152558881776,3.9710559844970703,11088
286716.272895004,277728.71309621196,0.031346528427018586,4.186933994293213,11757
286635.6652142964,277809.1227550685,0.03079359455366061,4.431668043136597,12426
286635.6652142964,278090.51538977,0.02981188617312439,4.652019023895264,13095
286463.2868070361,278561.24407617725,0.027584835805440293,4.887257099151611,13764
286463.2868070361,278616.5613918966,0.027391731424296177,5.09253716468811,14433
286463.2868070361,278651.0276284962,0.027271415006148107,5.318958044052124,15102
286212.5503246925,281045.0444013956,0.018054784520925633,5.532552003860474,15771
286212.5503246925,281084.6711762969,0.01791633225928883,5.757562160491943,16440
286212.5503246925,281447.96041709586,0.016647033479808896,5.98161506652832,17109
286196.17753084004,281488.3430301562,0.016449676376884916,6.189114093780518,17778
286196.17753084004,281555.039176588,0.01621663292044462,6.4235451221466064,18447
286196.17753084004,281558.6928103505,0.016203866733998592,6.634328126907349,19116
286196.17753084004,281564.9669795152,0.01618194411707603,6.847866058349609,19785
286196.17753084004,281565.28961431334,0.01618081679664531,7.038143157958984,20454
286196.17753084004,281565.4085795791,0.01618040111930547,7.245934009552002,21123
286196.17753084004,281566.24768666696,0.01617746918955326,7.445333003997803,21792
286186.33484601456,281566.72526976303,0.016141964216206058,7.678802013397217,22461
286032.5264340936,281320.26889510464,0.016474551330702355,7.89206600189209,23130
285942.5020404871,281566.72526976303,0.015302995320732237,8.13290810585022,23799
285920.90613465745,281567.51862408535,0.01522584538998985,8.350733995437622,24468
285886.7541036537,281716.84397167736,0.014585880850095198,8.590668201446533,25137
285886.7541036537,281761.01244886057,0.014431384440068473,8.838220119476318,25806
285886.7541036537,281761.01244886057,0.014431384440068473,9.056426048278809,26475
285886.7541036537,281856.58754003776,0.014097073424236876,9.304847002029419,27144
285886.7541036537,281856.58754003776,0.014097073424236876,9.54543399810791,27813
285886.7541036537,281922.7210225748,0.013865745873772333,9.82265019416809,28482
285781.8701089114,281929.6428186121,0.013479606977276867,10.049986124038696,29151
285749.3703681498,281701.5285898741,0.014165706727754366,10.303621053695679,29820
285464.4354890847,282119.0993338742,0.011718924458939899,10.524841070175171,30489
285193.648376164,282166.4709744092,0.010614462906137557,10.766350030899048,31158
285152.72755676357,282299.87584456493,0.01000464465706623,10.991121053695679,31827
284910.38970453315,282087.52521704143,0.00990790293895277,11.235506057739258,32496
