efficiency,gap,p
0.7,-0.00021626655114981297,1.1366557684964383e-10
0.7078947368421052,0.02420892600272151,0.000003028262460104587
0.7157894736842105,0.03923308383128232,0
0.7236842105263158,0.021154232057858713,0.00006656026523652876
0.7315789473684211,0.008767740088368448,0.14490871343196232
0.7394736842105263,0.03066654091254639,0.00007309527927036202
0.7473684210526316,0.013037645785500485,0.008769990952206241
0.7552631578947369,0.034461450781136604,0.085063824596599
0.7631578947368421,0.012494714365597903,0.00712499894895024
0.7710526315789473,0.005850439966260779,1.6441538671545351e-9
0.7789473684210526,0.021018456932794694,0.10785623893060794
0.7868421052631579,0.022095349054394142,0.014847689680802134
0.7947368421052632,-0.0143374209207634,0.05924524939289788
0.8026315789473685,0.02841058795371565,0.000042798376636600366
0.8105263157894737,0.008932710533756771,1.1652717793022767e-7
0.8184210526315789,0.029624672593908996,0.00020239283486562845
0.8263157894736842,0.012676052486157774,0.09315552120385329
0.8342105263157895,0.02046645219934906,4.306997858474218e-8
0.8421052631578947,0.005544299490368831,5.2259927206445164e-12
0.85,0.0055849507229635,1.8341768117575786e-11
0.85,0.0055849507229635,1.8341768117575786e-11
0.8552631578947368,0.02248681201850078,0.00003919325249843507
0.8605263157894737,0.022217895474419214,0.01
0.8657894736842106,0.022475502720594065,0.0008549928648276707
0.8710526315789474,0.024625570409181896,6.820362545769357e-9
0.8763157894736842,0.019802762111619354,1.2392285521251705e-8
0.881578947368421,0.0025586331090082792,4.791809337071201e-10
0.8868421052631579,0.023943141017159886,5.056098200797e-8
0.8921052631578947,0.01972602538371593,0.0006302055885788906
0.8973684210526316,0.023391164893075245,5.78390701097619e-7
0.9026315789473685,0.02489110289955887,5.6028098758507994e-8
0.9078947368421053,0.01940922822139801,0.000018551662585115015
0.9131578947368421,0.02,0.028471103564538507
0.9184210526315789,0.012898580157101658,1.0268789616318452e-9
0.9236842105263158,0.021426577606593833,0.000024570634047503706
0.9289473684210526,0.014881562235937174,0.0000033003601283629773
0.9342105263157895,0.017943152467548185,0.000008355459621495439
0.9394736842105263,0.0038636414780996997,3.2511923060259074e-8
0.9447368421052632,0.0019008369588018326,3.672320273160835e-12
0.95,0.0014568414295608179,4.257791251854943e-11
0.95,0.0014568414295608179,4.257791251854943e-11
0.9526315789473684,0.014458375489664665,1.8340291444260464e-8
0.9552631578947368,0.0013080023021726506,1.123089341847232e-7
0.9578947368421052,0.0028734537124114334,1.2996622860923488e-9
0.9605263157894737,-0.0025725099548665753,0.004896910733083535
0.9631578947368421,0.013121105736893734,0.00013696864733493648
0.9657894736842105,0.019017793207938172,7.105829433226047e-7
0.968421052631579,0.001932841606595348,1.5631882299601923e-10
0.9710526315789474,0.0013129615124130023,0.0000012016492698112106
0.9736842105263158,0.003693250539612114,1.2998478436127557e-10
0.9763157894736842,0.0015088522098302137,0.000011795724156178966
0.9789473684210527,0.0021206549036976163,1.2101989992181272e-10
0.9815789473684211,0.0009570859266084808,2.3929833266087214e-12
0.9842105263157894,0.012739668591949194,0.03565848169696255
0.9868421052631579,0.023058560159212815,0.012835918217863713
0.9894736842105263,0.017168822688301222,0.0012505099143681597
0.9921052631578947,0.009325180420225343,6.144147397271256e-10
0.9947368421052631,0.0044819314078520245,2.877141873612689e-12
0.9973684210526316,0.00044708413131611113,1.6336657604559535e-10
1,0.00772590510594473,1.5081872200314704e-8
