hydro4power,hydro4 upperbound,hydro4 lowerbound,hydro2power,hydro2 upperbound,hydro2 lowerbound,hydro3power,hydro3 upperbound,hydro3 lowerbound,hydro5power,hydro5 upperbound,hydro5 lowerbound,hydro6power,hydro6 upperbound,hydro6 lowerbound,hydro1power,hydro1 upperbound,hydro1 lowerbound
1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795
1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795
1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795
1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505,1.1905777560903505
1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795,1.96795
-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724,-0.38448865977944724
-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393,-0.7906891713448393
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795
0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844,0.47490131665620844
0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597,0.04081760479433597
-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795
-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795
-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856,-0.6380708236703856
-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216,-1.3088092075482216
-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795
-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795
-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795,-1.96795
-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105,-0.44178878739173105
