UpperBound,LowerBound,Gap,Time,TotalSolves
2.295339329289518e8,4.577659474490552e6,0.9800567200845747,23.15131187438965,2698
2.2790295013613883e8,5.864359007495958e6,0.9742681742206809,26.1013400554657,4484
1.6298121210244924e8,5.513441809273114e6,0.9661713044212275,28.993213891983032,6270
1.6135022930963635e8,1.3203299831780259e7,0.9181699345066149,31.337805032730103,8056
1.601231034429849e8,1.349250959468345e7,0.9157366469637049,33.79594707489014,9842
1.5797611585734445e8,1.3749394115697788e7,0.9129653616239446,36.43726301193237,11628
9.959452547991201e7,1.3699102719993155e7,0.8624512476566171,39.29554986953735,13414
9.796354268709911e7,1.4624574294736635e7,0.8507141137040305,42.06801700592041,15200
9.796354268709911e7,1.5877914029195372e7,0.8379201732229071,44.95453095436096,16986
9.796354268709911e7,1.6309216958202852e7,0.8335174850679361,47.62376284599304,18772
9.796354268709911e7,1.6963093140937608e7,0.8268427960479272,50.24849200248718,20558
8.577806307804178e7,1.6968746956396725e7,0.8021784784186793,53.21911907196045,22344
8.577806307804178e7,3.123423815964637e7,0.6358714916280036,55.981329917907715,24130
8.577806307804178e7,3.3470437201116685e7,0.6098019003918878,58.78508996963501,25916
8.555325956428236e7,3.374385362020599e7,0.6055807365837208,61.70732092857361,27702
8.555325956428236e7,3.527630178149763e7,0.5876685241315441,64.5216109752655,29488
8.360785721417868e7,3.565518644547463e7,0.573542635423169,67.58393597602844,31274
8.360785721417868e7,3.571373940821507e7,0.5728423069529578,70.07091689109802,33060
8.124749946501704e7,3.5006955392085165e7,0.5691319040882211,72.57054305076599,34846
8.001463609386899e7,3.581600240923566e7,0.5523818621480925,75.62946605682373,36632
8.001463609386899e7,3.5833316879563466e7,0.5521654708580354,78.66304588317871,38418
8.001463609386899e7,3.583757146626665e7,0.5521122982522362,81.65690994262695,40204
7.65921412527645e7,3.501700105693057e7,0.5428120890187715,84.6821219921112,41990
7.49611584599516e7,3.752244341037016e7,0.49944152169931133,87.79835200309753,43776
7.49611584599516e7,3.8954926641392455e7,0.48033184863059,91.18669199943542,45562
7.49611584599516e7,3.939031128390072e7,0.4745237121042465,93.98610591888428,47348
7.49611584599516e7,3.939813143627938e7,0.47441938937846,96.90054297447205,49134
7.49611584599516e7,3.9405804194152504e7,0.47431703293105765,99.79696393013,50920
6.887554537949643e7,3.8821205451276205e7,0.43635719706645115,102.95249891281128,52706
6.887554537949643e7,3.8821205451276205e7,0.43635719706645115,106.03920197486877,54492
6.887554537949643e7,3.8821205451276205e7,0.43635719706645115,108.89640808105469,56278
6.777549316199797e7,3.965187652561831e7,0.41495259310261584,112.02789092063904,58064
6.777549316199797e7,4.001636184760049e7,0.40957475953804134,114.91607284545898,59850
6.777549316199797e7,4.0073295956796825e7,0.4087347197752874,117.74476194381714,61636
6.777549316199797e7,4.009154684800298e7,0.40846543525436874,120.73131895065308,63422
6.777549316199797e7,4.010329203079602e7,0.4082921398308302,123.36999487876892,65208
6.777549316199797e7,4.01316340376183e7,0.40787396497882966,126.17158389091492,66994
6.777549316199797e7,4.015833683701924e7,0.4074799759696001,129.16488099098206,68780
6.777549316199797e7,4.01802369452176e7,0.4071568487273385,131.70288395881653,70566
6.672030839546402e7,3.93784291719945e7,0.4097984538891663,134.92786598205566,72352
6.672030839546402e7,3.93784291719945e7,0.4097984538891663,138.07885885238647,74138
6.5089325602651104e7,4.018410974249143e7,0.38263133977140606,141.06982588768005,75924
6.5089325602651104e7,4.018685581511993e7,0.3825891504784141,144.07767295837402,77710
6.5089325602651104e7,4.018969750518699e7,0.3825454921666902,147.10654997825623,79496
6.5089325602651104e7,4.019536145909401e7,0.382458473998126,149.92883801460266,81282
6.5089325602651104e7,4.019818758807077e7,0.3824150547592478,152.89966893196106,83068
6.5089325602651104e7,4.020043169538647e7,0.3823805774114658,155.70897889137268,84854
6.136649658260015e7,4.020246889349974e7,0.34487919088901114,158.8011119365692,86640
6.136649658260015e7,4.0204059035095856e7,0.3448532786782012,161.63414788246155,88426
