UpperBound,LowerBound,Gap,Time,TotalSolves
2.9366753779639665e7,1.4797301705770516e6,0.9496120619364143,5.636232852935791,2870
2.9366753779639665e7,1.1418536193478977e7,0.6111747223012579,9.441792964935303,4780
2.9366753779639665e7,1.7598258303438157e7,0.400742130523148,13.863630056381226,6690
2.9363553779639665e7,1.846853128363821e7,0.3710389613520123,17.487926959991455,8600
2.9363553779639665e7,1.8721974883004557e7,0.3624077309066674,21.273158073425293,10510
2.9363553779639665e7,1.873442790285077e7,0.36198363306280057,25.036624908447266,12420
2.9363553779639665e7,1.8733965921292104e7,0.3619993662251464,28.930130004882812,14330
2.9363553779639665e7,1.899068848279743e7,0.35325646802447513,32.751096963882446,16240
2.9363553779639665e7,1.9300529604747273e7,0.34270457351350886,36.64769887924194,18150
2.9301115432305988e7,1.9677035257223394e7,0.3284543961241677,40.50781989097595,20060
2.9301115432305988e7,1.968080392647495e7,0.32832577749665287,44.505539894104004,21970
2.9301115432305988e7,1.969698973108917e7,0.32777338198626305,48.38335704803467,23880
2.9301115432305988e7,1.9705065078167196e7,0.3274977833628358,52.26997089385986,25790
2.9301115432305988e7,2.0325002832263257e7,0.3063403036918555,56.09017896652222,27700
2.9253636976283453e7,2.0338697382543277e7,0.3047463671258281,59.80371594429016,29610
2.9253636976283453e7,2.0339541120820343e7,0.3047175249590318,63.62931704521179,31520
2.9253636976283453e7,2.034258950143345e7,0.3046133197753968,67.30223608016968,33430
2.9253636976283453e7,2.03485276682268e7,0.304410330765922,71.2335729598999,35340
2.9253636976283453e7,2.0350724116790883e7,0.3043352478432118,74.97669386863708,37250
2.9253636976283453e7,2.035983970568128e7,0.30402364252392156,78.66408705711365,39160
2.9253636976283453e7,2.0364161581270322e7,0.3038759044634354,82.40741395950317,41070
2.9253636976283453e7,2.0394387699307825e7,0.30284266138114757,86.11414885520935,42980
2.9253636976283453e7,2.048230716104123e7,0.29983724151473296,89.7904360294342,44890
2.9253636976283453e7,2.0487835615190223e7,0.29964825803368833,93.59962201118469,46800
2.9253636976283453e7,2.0496131847100344e7,0.29936466143621754,97.22667908668518,48710
2.9253636976283453e7,2.0520849505458128e7,0.29851971834836066,101.03818798065186,50620
2.9253636976283453e7,2.0521452545473292e7,0.2984991041588958,104.84988903999329,52530
2.9253636976283453e7,2.0518744765992906e7,0.29859166630706846,108.60780191421509,54440
2.9253636976283453e7,2.059390282733486e7,0.2960224793918522,112.35367798805237,56350
2.9253636976283453e7,2.0620195000991635e7,0.2951237134135196,116.1804518699646,58260
2.9253636976283453e7,2.0622007966331523e7,0.2950617393984131,119.74442195892334,60170
2.9272236831540793e7,2.0705588296230525e7,0.29265438731623394,123.44669985771179,62080
2.9211227410695627e7,2.07053142455148e7,0.29118643477700656,126.99236798286438,63990
2.91526249998759e7,2.071853050174639e7,0.2893082354733206,130.64219903945923,65900
2.913157838909458e7,2.0719679989002626e7,0.2887553255006928,134.1844298839569,67810
2.914352628082251e7,2.0720225366363864e7,0.28902819903442784,137.70830702781677,69720
2.9031073680247966e7,2.072089108770462e7,0.2862513003849868,141.1474359035492,71630
2.892873920079334e7,2.076944043192609e7,0.28204819823753297,144.5781228542328,73540
2.892873920079334e7,2.0770528312851258e7,0.2820105926952514,148.10318088531494,75450
2.8934436798602954e7,2.0778489431211848e7,0.28187683154713766,151.7057249546051,77360
2.8897968537048727e7,2.0780067563782733e7,0.28091597382903977,155.2859010696411,79270
2.881809629164699e7,2.0835949622534197e7,0.2769838294775371,158.9112470149994,81180
2.881809629164699e7,2.087448167642864e7,0.27564675108399966,162.4315149784088,83090
2.881809629164699e7,2.0914464340629417e7,0.2742593359058372,166.0594198703766,85000
2.8826543437215984e7,2.0913631060547497e7,0.2745009089939193,169.65641689300537,86910
2.875737659861142e7,2.0950962789720487e7,0.2714577869132845,173.15324807167053,88820
2.869690835875583e7,2.098570178307905e7,0.268712102337811,176.78356003761292,90730
2.864134926611434e7,2.1012301644023236e7,0.2663648123280648,180.33466386795044,92640
2.8630169536372196e7,2.1012270752875086e7,0.2660794157652199,183.86146092414856,94550
2.855555611504114e7,2.1012301644023236e7,0.26416065723351917,187.34433007240295,96460
2.843460048771718e7,2.101552609237835e7,0.2609171315258545,190.77505707740784,98370
2.8345431075760555e7,2.1015440941784143e7,0.2585951194174857,194.34791707992554,100280
2.8248662928316534e7,2.101552609237835e7,0.25605236093095457,197.87973189353943,102190
2.820817140050398e7,2.1015519220682602e7,0.2549847020460487,201.46050906181335,104100
2.8120980962268386e7,2.1053932232730117e7,0.25130875551676357,205.0673599243164,106010
2.8120980962268386e7,2.106206770419142e7,0.2510194529681712,208.65284490585327,107920
2.814653347720257e7,2.1062080977646876e7,0.25169893497875256,212.270653963089,109830
2.801902781991372e7,2.1063842579844862e7,0.2482307839077007,215.92963099479675,111740
2.793456801907235e7,2.1091764103965092e7,0.2449582864655479,219.61265802383423,113650
2.7954832745212942e7,2.1091764103965092e7,0.24550562343904916,223.46215105056763,115560
2.7893223129202247e7,2.1091764103965092e7,0.24383912155768417,227.15919303894043,117470
2.786104182871002e7,2.1096230477226876e7,0.2428053980562994,230.79209089279175,119380
2.786104182871002e7,2.109566952200492e7,0.2428255320923991,234.42128586769104,121290
2.786104182871002e7,2.1096870789302357e7,0.2427824157112953,238.1007559299469,123200
2.784363440624076e7,2.109572193278334e7,0.24235027565025677,241.75828099250793,125110
2.7791274518563196e7,2.109720827708944e7,0.24086935045035274,245.41469287872314,127020
2.7711033511674363e7,2.1097154285672545e7,0.23867313441108073,249.0629539489746,128930
