"min","mean","max"
92.72095074063724,145.88281321618226,171.37644787590835
135.47252683063167,152.40659268446066,171.93166314980436
163.23329052543323,193.9552023476803,236.89185019564007
211.90716287031864,260.34969551774736,295.3745257126887
248.18122743152603,257.3422794508105,271.6853406931247
256.3243847820012,278.5792636773337,296.1148127445501
253.9184519284517,273.11964681735606,289.4522294577977
278.34792397987707,291.9969661298211,298.7058173560649
300.0013196618223,315.45481145192855,331.0933750000001
205.7997948574623,224.58457829094468,248.73644270542206
204.68936430967025,232.8202715204025,274.0912735466742
196.5462069591951,202.37596733510347,210.42658880659587
179.14946171045278,194.0940061661544,219.68017670486307
171.00630435997766,187.06127936347133,220.0503202207938
165.45415162101736,169.75706999371172,179.70467698434885
193.9552023476803,198.30438865986596,207.65051243711576
135.10238331470097,144.12463151551154,152.86927207937399
132.88152221911685,141.81123454094472,154.71998965902742
119.9264991615428,133.11286191657362,151.01855449972055
133.43673749301288,155.09013317495814,170.26601732811628
124.73836486864172,136.02774210452776,145.28133000279487
99.38353402738963,122.33243201509234,140.46946429569593
120.4817144354388,129.27262293879272,133.25166573504754
124.92343662660707,142.78286127026283,153.0543438373393
