"gen4 state","gen4 power","gen3 state","gen3 power","gen5 state","gen5 power","gen1 state","gen1 power"
0.0,3.3306690738754696e-16,1.0000000000000009,1.1998882057015101,1.0,6.0,1.0,0.4
0.0,2.220446049250313e-16,1.0000000000000009,0.7574151552818131,1.0,6.000000000000002,1.0,0.40000000000000013
0.0,-6.661338147750939e-16,1.0000000000000009,0.3917134366625976,1.0,6.0,1.0,0.40000000000000013
0.0,2.220446049250313e-16,1.0000000000000009,0.0,1.0,6.000000000000002,1.0,0.40000000000000013
-0.0,2.220446049250313e-16,1.0000000000000009,0.0,1.0,6.0,1.0,0.40000000000000013
0.0,2.220446049250313e-16,-0.0,0.0,1.0,6.0,1.0,0.40000000000000013
0.0,3.3306690738754696e-16,-0.0,0.0,1.0,6.0,1.0,0.4
-0.0,2.220446049250313e-16,-0.0,0.0,1.0,6.0,1.0000000000000004,0.40000000000000013
-0.0,0.0,-0.0,0.0,1.0,5.564516129032258,0.0,0.0
-0.0,0.0,-0.0,0.0,1.0000000000000002,5.9782553691218565,0.0,0.0
-0.0,0.0,-0.0,0.0,1.0,5.354965801530802,0.0,0.0
-0.0,0.0,-0.0,0.0,1.0,5.32579574914104,0.0,0.0
-0.0,0.0,-0.0,0.0,1.0,5.224706830794501,0.0,0.0
-0.0,0.0,-0.0,0.0,1.0,4.992983773540349,0.0,0.0
-0.0,0.0,-0.0,0.0,1.0,5.240391186979745,0.0,0.0
-0.0,0.0,-0.0,0.0,1.0,5.117828980316176,0.0,0.0
-0.0,0.0,-0.0,0.0,1.0,5.942498061631115,0.0,0.0
-0.0,1.6653345369377348e-16,-0.0,0.0,1.0,6.0,1.0,0.2
0.0,3.3306690738754696e-16,-0.0,0.0,1.0,6.0,1.0,0.4
0.0,2.220446049250313e-16,-0.0,0.0,1.0,6.0,1.0000000000000004,0.40000000000000013
-0.0,2.220446049250313e-16,0.9999999999999969,0.4898708083681691,1.0,6.0,1.0000000000000004,0.40000000000000013
-0.0,3.3306690738754696e-16,0.9999999999999991,0.6917243717968931,1.0,6.0,1.0,0.4
-0.0,1.1102230246251565e-16,0.9999999999999989,0.7197223871863492,1.0,6.0,1.0000000000000004,0.40000000000000024
-0.0,0.0,1.0000000000000002,0.935923951957534,1.0,6.0,1.0,0.4
