"gen2 state","gen2 power","gen2 upperbound","gen2 lowerbound"
1.0,1.2985885969815536,1.6999999999999997,1.1060927892677472
1.0,1.5721352711011738,1.7000000000000004,1.4247065399664622
1.0,1.4680268306316377,1.7,1.1438233650083844
1.0,1.233542782840445,1.599319753214956,0.9690793954732004
1.0,1.3238888769326247,1.3930615991237927,1.2155881502696844
0.9999999999999997,1.272795116299225,1.4408359212181738,1.1403887440242106
0.9999999999999998,1.0642794095492811,1.209262640404507,0.9409563240266423
1.0000000000000022,0.3858415749152668,0.4889019438364517,0.33518478341163305
1.0,0.11808272778088336,0.2347680268306318,-0.0
1.0,0.18236444941308005,0.3242034656232533,-0.0
1.0,0.3116266070430409,0.524035774175517,-0.0
1.0,0.06078814980435965,0.10480715483510328,-0.0
1.0000000000000007,0.19319452207937315,0.30603689211850194,-0.0
1.0000000000000004,0.24909167132476173,0.37031861375069886,-0.0
1.0,0.07511179429849002,0.1076020122973731,-0.0
1.0,0.07057015092230223,0.10340972610396859,-0.0
1.0,0.06602850754611489,0.13415315818893236,-0.0
0.9999999999999967,0.39831492779612176,0.465740864073372,0.30084427379947587
0.9999999999999984,0.8571262321656977,0.9566930292590464,0.7219250024284148
0.9999999999999999,1.3935749106140023,1.557074072156764,1.2789857546609564
1.0,1.6147568474007818,1.7,1.5448854108440468
1.0,1.5267188373392955,1.7000000000000004,1.3897708216880944
1.0,1.6336221352711005,1.7,1.6035774175517048
1.0,1.5651481274454997,1.7,1.4875908328675238
