min,mean,max,price
99.54703367,111.3335856,123.1201374,1.5
99.02981851,104.3285465,109.6272745,1.5
93.24745675,96.04985491,98.85225307,1.5
85.65352677,87.26845264,88.88337852,1.5
77.26851587,82.67026383,88.0720118,1.5
84.05729119,95.00753927,105.9577874,1.5
87.80545897,97.56585753,107.3262561,1.5
37.65380125,61.10099352,84.5481858,1.5
74.01199623,88.84240679,103.6728174,1.5
43.36043707,64.08828396,84.81613084,1.5
52.16825959,62.61157497,73.05489035,1.5
64.0492448,71.17181594,78.29438709,1.5
61.61077232,71.07510843,80.53944454,1.5
41.54786278,53.9380939,66.32832502,1.5
48.75280107,54.84381779,60.93483452,1.5
42.25384043,54.89033066,67.52682089,1.5
40.95869783,52.76034634,64.56199485,1.5
41.6954463,48.84439686,55.99334743,1.5
36.07610449,39.7886576,43.50121071,1.5
28.4164434,34.70302306,40.98960272,1.5
13.83717243,23.66769366,33.49821489,1.5
5.642585618,12.79492866,19.94727171,1.5
9.562009869,14.6402641,19.71851833,1.5
14.39090314,17.10078613,19.81066912,
11.39898625,13.36618033,15.33337441,
10.75744017,13.00582412,15.25420808,
10.91669329,12.83475476,14.75281623,
8.64721355,11.36180821,14.07640287,
4.17486006,6.962877475,9.750894889,
1.142315833,4.189807753,7.237299674,
2.176324275,4.776389199,7.376454123,
5.877072386,8.513374741,11.1496771,
9.595828233,11.52698425,13.45814026,
13.19386493,14.98702165,16.78017838,
9.57378923,11.61051445,13.64723967,
7.779537285,10.15896795,12.53839861,
9.859207955,11.87127857,13.88334918,
10.6160809,11.94425387,13.27242684,
13.02606835,15.06709993,17.10813152,
9.417190918,11.56463292,13.71207491,
10.4099383,15.52875632,20.64757435,
8.985801442,12.45813981,15.93047818,
4.636110735,6.8349925,9.033874265,
2.84683718,4.269137872,5.691438565,
5.065922699,6.767215459,8.468508219,
3.454493807,5.704768884,7.955043961,
4.670965607,6.109005624,7.54704564,
2.608327114,4.115735407,5.6231437,
1.726983597,2.876717792,4.026451986,
1.527385639,3.447401017,5.367416395,
3.868886738,5.521200835,7.173514932,
4.255418966,6.02591276,7.796406554,
2.256152086,4.748299495,7.240446903,
2.093097613,3.719168858,5.345240102,
2.145739521,3.547825824,4.949912127,
3.424935127,4.70313104,5.981326953,
2.767889952,4.276256643,5.784623335,
6.43842374,8.118707138,9.798990536,
13.16415281,15.35081716,17.53748152,
3.16393714,11.33655636,19.50917559,
13.59382707,17.51810684,21.4423866,
-0.125858191,8.401586432,16.92903105,
2.537523617,8.881077416,15.22463122,
-1.419426091,3.570715975,8.56085804,
6.637829295,11.25957522,15.88132114,
8.038841671,10.49836336,12.95788505,
8.655383877,10.39813603,12.14088818,
6.156959039,7.467412651,8.777866262,
1.98762872,4.508771428,7.029914136,
3.869806494,5.391089772,6.91237305,
4.071031296,6.073018702,8.075006108,
4.558469647,6.711231897,8.863994147,
2.406065143,8.028218197,13.65037125,
4.185704275,11.07894097,17.97217767,
-4.423636655,15.07262182,34.5688803,
-5.700684804,20.45861838,46.61792156,
3.105130522,38.29234171,73.47955289,
9.133801767,48.10074097,87.06768017,
41.20962482,67.23707277,93.26452071,
27.70503899,52.42315004,77.14126109,
59.9284743,76.06854882,92.20862334,
61.82767579,71.59140845,81.3551411,
72.93337649,114.0246927,155.1160089,
98.88884097,119.3156827,139.7425244,
33.7093833,76.23370488,118.7580265,
93.73923472,117.1015039,140.463773,
67.118429,90.68730603,114.2561831,
57.38030139,68.58078602,79.78127065,
69.20968959,91.69121295,114.1727363,
89.8052887,104.1414618,118.4776349,
90.91100706,102.7170012,114.5229952,
51.22845073,72.42029372,93.61213672,
73.14108819,94.87705682,116.6130254,
84.8133091,95.8723885,106.9314679,
91.22934587,96.53658808,101.8438303,
77.62453425,86.19672411,94.76891396,
