wf1,wf2
111.7999955,6.011828664
107.9396351,10.35669629
103.0332353,8.439623932
105.479809,8.74603212
108.6987783,8.758124907
108.3434192,9.306292201
114.6081714,15.86056523
103.1640884,18.05524444
88.92278835,18.8013583
85.62481116,18.97084583
77.62721989,20.12590325
75.19603979,20.65167325
61.33832582,21.35100219
39.7890941,21.69669004
41.62362572,21.64382344
42.58598429,22.70809582
33.55012114,22.80164029
35.66761364,24.38979423
32.99010541,29.58552108
23.5280918,28.1993246
30.30015143,34.9112833
26.06397102,42.92182887
23.58434223,30.66504239
27.50756084,40.06213323
