min,mean,max,price
101.9242984,111.2895898,120.6548811,1.5
100.1296369,104.2639804,108.3983238,1.5
93.88311318,96.02099952,98.15888585,1.5
85.98872518,87.24877442,88.50882365,1.5
78.31480872,82.57102675,86.82724478,1.5
86.31737826,94.83200893,103.3466396,1.5
89.99427529,97.4502211,104.9061669,1.5
42.83462546,61.10099353,79.36736159,1.5
77.0902366,88.66169495,100.2331533,1.5
48.09230977,64.2108786,80.32944742,1.5
54.3237178,62.44417068,70.56462355,1.5
65.62302765,71.17181595,76.72060424,1.5
63.64693524,71.02248192,78.3980286,1.5
44.51498147,53.9539635,63.39294553,1.5
50.09865462,54.8438178,59.58898097,1.5
44.87670473,54.73635225,64.59599976,1.5
43.63561714,52.63882854,61.64203994,1.5
43.40742282,48.85355335,54.29968388,1.5
36.84669212,39.74341933,42.64014653,1.5
29.7689419,34.66806649,39.56719108,1.5
16.30850534,23.79122533,31.27394532,1.5
7.264922125,12.72128328,18.17764443,1.5
10.81846767,14.69255326,18.56663884,1.5
15.03185951,17.14540992,19.25896033,
11.86807465,13.36807877,14.86808289,
11.23234962,12.9830165,14.73368337,
11.35455945,12.84609912,14.33763878,
9.247022583,11.31852577,13.39002896,
4.892844368,7.006722865,9.120601361,
1.715047255,4.09090067,6.466754085,
2.778266851,4.80276428,6.827261709,
6.422247775,8.449106823,10.47596587,
10.01750857,11.51531873,13.01312888,
13.6375264,15.00548521,16.37344402,
10.01415966,11.59970867,13.18525767,
8.294005748,10.10790059,11.92179543,
10.29208603,11.86009044,13.42809484,
10.9173449,11.9305781,12.94381129,
13.49200683,15.07917159,16.66633635,
9.912927119,11.54761477,13.18230243,
11.62066917,15.61304817,19.60542717,
9.778486917,12.47867692,15.17886693,
5.092516617,6.808198641,8.523880665,
3.127402404,4.237281802,5.3471612,
5.451819927,6.749697793,8.047575658,
3.918941515,5.668697417,7.418453319,
4.996338857,6.117001855,7.237664853,
2.950246327,4.100214107,5.250181886,
1.953781934,2.850966547,3.748151159,
1.942521653,3.406193635,4.869865616,
4.259701116,5.548409579,6.837118041,
4.638226179,5.987914411,7.337602642,
2.794991594,4.735077484,6.675163374,
2.495418925,3.735911993,4.976405061,
2.435124483,3.525350656,4.615576828,
3.716729079,4.710690917,5.704652755,
3.100343701,4.273354276,5.44636485,
6.785898738,8.077745101,9.369591464,
13.64731188,15.35081717,17.05432245,
4.879682288,11.16549354,17.45130479,
14.36793654,17.43021253,20.49248852,
1.907558537,8.409815849,14.91207316,
3.985666746,8.918596298,13.85152585,
-0.316818643,3.570715975,7.458250593,
7.591739027,11.18548954,14.77924005,
8.620581208,10.53886443,12.45714766,
9.050685167,10.38019146,11.70969776,
6.470776542,7.4690911,8.467405657,
2.571299967,4.534345922,6.497391876,
4.169897176,5.357016734,6.544136291,
4.472509212,6.015976713,7.559444213,
5.013181638,6.689394259,8.365606879,
3.553332166,8.022154653,12.49097714,
5.612270927,10.95282921,16.2933875,
-0.115799422,15.07262182,30.26104306,
0.236599634,20.72998949,41.22337934,
10.21739113,37.57134323,64.92529533,
17.97799001,48.5049758,79.03196158,
46.96057491,66.82208213,86.68358934,
33.29311938,52.5679477,71.84277602,
63.33762244,75.90482377,88.4720251,
63.82008126,71.58087817,79.34167508,
82.23076388,113.5083336,144.7859033,
103.2834839,118.9133139,134.5431438,
42.6914801,75.8023378,108.9131955,
99.41876603,117.2320271,135.0452881,
71.87491067,90.31622989,108.7575491,
59.85512828,68.40220162,76.94927495,
73.86227776,91.74898668,109.6356956,
92.83341213,104.2415357,115.6496593,
93.73821709,102.7321224,111.7260278,
55.91093944,72.42029372,88.929648,
77.42706522,94.28790056,111.1487359,
87.25080154,95.64610627,104.041411,
92.45802867,96.59042479,100.7228209,
79.46876029,86.02786872,92.58697715,
